C101724	N-Isopropyl-N'-phenyl-p-phenylenediamine
C836306	4-Nitro-N-phenylaniline
CNOCAS47383	AVE3247
C78308	Tri-o-cresyl phosphate
C60207901	Propiconazole
C140669	4-(1,1,3,3-Tetramethylbutyl)phenol
C51707552	Thidiazuron
C26225796	Ethofumesate
C584792	Allethrin
C19774824	Amiodarone hydrochloride
C178928706	Prothioconazole
C121540	Benzethonium chloride
C180084019	SB236057A
C118134308	Spiroxamine
C39300453	Dinocap
C5307142	2-Nitro-1,4-phenylenediamine
C42978665	Tripropylene glycol diacrylate
C249296433	CJ-013610
C328392467	HMR1171
C154427	6-Thioguanine
C112005	Dodecyltrimethylammonium chloride
C33089611	Amitraz
C361343193	Elzasonan
C3290924	Trimethylolpropane trimethacrylate
C2155706	Tributyltin methacrylate
C121755	Malathion
C577117	Docusate sodium
C43222486	Difenzoquat metilsulfate
C95545	1,2-Phenylenediamine
C1192525	4,5-Dichloro-3H-1,2-dithiol-3-one
C13676545	Bismaleimide
C58082	Caffeine
C81335775	Imazethapyr
C700061	Indole-3-carbinol
C151213	Sodium dodecyl sulfate
C207736058	CI-1029
C31654770	(9E,12Z)-9,12-Tetradecadien-1-ol acetate
CNOCAS48172	PharmaGSID_48172
C56531	Diethylstilbestrol
C90471	Xanthone
CNOCAS47353	SSR 241586 HCl
C98293	4-tert-Butylcatechol
C120321	Clorophene
C10540291	Tamoxifen
C7378996	N,N-Dimethyloctylamine
C3697425	Chlorhexidine dihydrochloride
C485314	Binapacryl
C143500	Kepone
C85509199	Flusilazole
C112410238	Tebufenozide
C563122	Ethion
C1461229	Tributyltin chloride
CNOCAS34742	Milbemectin (mixture of 70% Milbemcin A4, 30% Milbemycin A3)
CNOCAS47379	SSR126768
C23031369	Prallethrin
C54626	4-Aminofolic acid
C2835952	5-Amino-2-methylphenol
C149062759	1,3-Dichloro-6,7,8,9,10,12-hexahydroazepino[2,1-b]quinazoline hydrochloride (1:1)
C27955948	4,4',4''-Ethane-1,1,1-triyltriphenol
C41198087	Profenofos
C4151502	N-Ethylperfluorooctanesulfonamide
CNOCAS48176	YM218
C94826	2,4-Dichlorophenoxybutyric acid
C2104645	EPN
C57749	Chlordane
C110488705	Dimethomorph
C108612459	Mizolastine
C288104790	Surinabant
C113136779	Cyclanilide
C83794	Rotenone
C50555	Reserpine
C569642	Malachite green
C121880	2-Amino-5-nitrophenol
C35691657	1,2-Dibromo-2,4-dicyanobutane
C135410207	Acetamiprid
C478263988	AVE3295
